acpi-support-base 0.140-5+deb7u3
initscripts 2.88dsf-41+deb7u2
insserv 1.14.0-5
iotop 0.4.4-4
ipmitool 1.8.11-5
iproute 20120521-3+b3
iptables 1.4.14-3.1
iputils-arping 3:20101006-1+b1
iputils-ping 3:20101006-1+b1
ipvsadm 1:1.26-1
ipxe-qemu 1.0.0+git-20120202.f6840ba-3
isc-dhcp-client 4.2.2.dfsg.1-5+deb70u6
isc-dhcp-common 4.2.2.dfsg.1-5+deb70u6
iso-codes 3.41-1
kbd 1.15.3-9
kdump-tools 1.4.3-1
keepalived 1:1.2.2-3
kexec-tools 1:2.0.3-1+deb7u1
keystone 2014.1.2.1-1~bpo70+1
klibc-utils 2.0.1-3.1
kmod 9-3
kpartx 0.4.9+git0.4dfdaf2b-7~deb7u2
less 444-4
libacl1:amd64 2.2.51-8
libaio1:amd64 0.3.109-3
libapache2-mod-wsgi 3.3-4+deb7u1
libapparmor1 2.7.103-4
libapr1 1.4.6-3+deb7u1
libaprutil1 1.4.1-3
libaprutil1-dbd-sqlite3 1.4.1-3
libaprutil1-ldap 1.4.1-3
libapt-inst1.5:amd64 0.9.7.9+deb7u6
libapt-pkg4.12:amd64 0.9.7.9+deb7u6
libasound2:amd64 1.0.25-4
libasprintf0c2:amd64 0.18.1.1-9
libasyncns0:amd64 0.8-4
libatk1.0-0:amd64 2.4.0-2
libatk1.0-data 2.4.0-2
libattr1:amd64 1:2.4.46-8
libaudit0 1:1.7.18-1.1
libaugeas-ruby 0.4.1-1.1
libaugeas-ruby1.9.1 0.4.1-1.1
libaugeas0 0.10.0-1
libavahi-client3:amd64 0.6.31-2
libavahi-common-data:amd64 0.6.31-2
libavahi-common3:amd64 0.6.31-2
libbind9-80 1:9.8.4.dfsg.P1-6+nmu2+deb7u2
libblas3 1.2.20110419-5
libblas3gf 1.2.20110419-5
libblkid1:amd64 2.20.1-5.3
libbluetooth3:amd64 4.99-2
libboost-thread1.49.0 1.49.0-3.2
libbrlapi0.5:amd64 4.4-10+deb7u1
libbsd0:amd64 0.4.2-1
libbz2-1.0:amd64 1.0.6-4
libc-bin 2.13-38+deb7u6
libc-dev-bin 2.13-38+deb7u6
libc6:amd64 2.13-38+deb7u6
libc6-dev:amd64 2.13-38+deb7u6
libcaca0:amd64 0.99.beta18-1
libcairo2:amd64 1.12.2-3
libcap-ng0 0.6.6-2
libcap2:amd64 1:2.22-1.2
libcephfs1 0.80.1-1~bpo70+1
libcfg4 1.4.2-3
libcib1 1.1.7-1
libclass-accessor-perl 0.34-1
libclass-isa-perl 0.36-3
libcomerr2:amd64 1.42.5-1.1
libconfdb4 1.4.2-3
