acpi-support-base 0.140-5+deb7u3
python-mysqldb 1.2.3-2
python-netaddr 0.7.7-1
python-netifaces 0.8-1
python-networkx 1.8.1-1~bpo70+1
python-neutron 2014.1.2-1~bpo70+1
python-neutronclient 2.3.6-1~bpo70+1
python-nose 1.1.2-3
python-nova 2014.1.2-7~bpo70+1
python-novaclient 2:2.17.0-2~bpo70+1
python-novnc 1:0.4+dfsg+1+20131010+gitf68af8af3d-2~bpo70+1
python-numpy 1:1.6.2-1.2
python-oauth 1.0.1-3
python-oauthlib 0.6.1-1~bpo70+1
python-openssl 0.13-2+deb7u1
python-openstack-auth 1.1.5-3~bpo70+1
python-ordereddict 1.1-1~bpo70+1
python-oslo.config 1:1.4.0.0~a3-2~bpo70+1
python-oslo.db 0.3.0-1~bpo70+1
python-oslo.i18n 0.1.0-2~bpo70+1
python-oslo.messaging 1.4.0.0~a4-1~bpo70+1
python-oslo.rootwrap 1.2.0-1~bpo70+1
python-oslo.vmware 0.3-2~bpo70+1
python-pam 0.4.2-13
python-paramiko 1.10.1-1~bpo70+1
python-passlib 1.5.3-2
python-paste 1.7.5.1-6~bpo70+1
python-pastedeploy 1.5.0-5~bpo70+1
python-pastedeploy-tpl 1.5.0-5~bpo70+1
python-pastescript 1.7.5-2
python-pbr 0.8.2-1~bpo70+1
python-pecan 0.4.5-2~bpo70+1
python-pexpect 3.1-1~bpo70+1
python-pip 1.4.1-2~bpo70+1
python-pkg-resources 0.6.24-1
python-ply 3.4-3
python-posix-ipc 0.9.8-2~bpo70+1
python-prettytable 0.7.2-2~bpo70+1
python-psutil 1.2.1-1~bpo70+1
python-pyasn1 0.1.3-1
python-pycadf 0.5.1-1~bpo70+1
python-pycryptopp 0.5.29-1
python-pycurl 7.19.0-5
python-pymongo 2.6.2-1~bpo70+1
python-pyparsing 2.0.1+dfsg1-1~bpo70+1
python-pysnmp4 4.2.2-1
python-pysqlite2 2.6.3-3
python-pyudev 0.13-1
python-qpid 0.16-1
python-repoze.lru 0.5-2
python-requests 1.2.0-1
python-routes 1.13-2
python-rtslib-fb 2.1.45-4~bpo70+1
python-sendfile 2.0.0-6~bpo70+1
python-setuptools 0.6.24-1
python-simplegeneric 0.8.1-1
python-simplejson 3.3.0-3~bpo70+1
python-singledispatch 3.4.0.2-1~bpo70+1
python-six 1.7.3-1~bpo70+1
python-software-properties 0.82.7.1debian1
python-sqlalchemy 0.8.4-1~bpo70+1
python-sqlalchemy-ext 0.8.4-1~bpo70+1
python-stevedore 0.14.1-1~bpo70+1
python-subunit 0.0.18-5~bpo70+1
python-suds 0.4.1-5+deb7u1
python-support 1.0.15
python-swift 1.13.0-1~bpo70+1
python-swiftclient 1:2.0.2-2~bpo70+1
python-taskflow 0.2-1~bpo70+1
python-tempita 0.5.1-1
python-testrepository 0.0.18-4~bpo70+1
python-testscenarios 0.4-3~bpo70+1
python-testtools 0.9.35-1~bpo70+1
python-thrift 0.9.0-1~bpo70+1
python-trove 2014.1-5~bpo70+1
python-troveclient 1.0.5-1~bpo70+1
python-tz 2012c-1
python-urllib3 1.5-1
python-waitress 0.8.8-1~bpo70+1
python-warlock 1.0.1-2~bpo70+1
python-webob 1.2.3-4~bpo70+1
python-webtest 2.0.14-1~bpo70+1
python-werkzeug 0.9.6+dfsg-1~bpo70+1
python-wsme 0.6-3~bpo70+1
python-xattr 0.6.4-2
python-yaml 3.10-4~bpo70+1
python2.6 2.6.8-1.1
python2.6-minimal 2.6.8-1.1
python2.7 2.7.3-6+deb7u2
python2.7-dev 2.7.3-6+deb7u2
python2.7-minimal 2.7.3-6+deb7u2
qemu-keymaps 1.7.0+dfsg-8~bpo70+1
qemu-kvm 1.7.0+dfsg-8~bpo70+1
qemu-system-common 1.7.0+dfsg-8~bpo70+1
qemu-system-x86 1.7.0+dfsg-8~bpo70+1
qemu-utils 1.7.0+dfsg-8~bpo70+1
rabbitmq-server 3.2.4-1.1~bpo70+1
readline-common 6.2+dfsg-0.1
resource-agents 1:3.9.2-5+deb7u2
rpcbind 0.2.0-8
rsync 3.0.9-4
rsyslog 5.8.11-3+deb7u2
rsyslog-gnutls 5.8.11-3+deb7u2
rsyslog-relp 5.8.11-3+deb7u2
ruby 1:1.9.3
ruby-activerecord 2:2.3.14.2
ruby-activerecord-2.3 2.3.14-6
ruby-activesupport-2.3 2.3.14-7
ruby-blankslate 2.1.2.4-4
ruby-builder 3.0.0-3
ruby-i18n 0.6.0-3+deb7u1
ruby-json 1.7.3-3
ruby-memcache-client 1.8.5-2
ruby-shadow 2.1.4-2
ruby-sqlite3 1.3.6-2
ruby-tzinfo 0.3.33-3
ruby1.9.1 1.9.3.194-8.1+deb7u2
screen 4.1.0~20120320gitdb59704-7
seabios 1.7.4-4~bpo70+1
sed 4.2.1-10
sensible-utils 0.0.7
sensu 0.14.0-1
sg3-utils 1.33-1
shared-mime-info 1.0-1+b1
socat 1.7.1.3-1.4
spice-html5 0.1.4-1~bpo70+1
sqlite3 3.7.13-1+deb7u1
ssl-cert 1.0.32
strace 4.5.20-2.3
subunit 0.0.18-5~bpo70+1
sudo 1.8.5p2-1+nmu1
swift 1.13.0-1~bpo70+1
swift-account 1.13.0-1~bpo70+1
swift-container 1.13.0-1~bpo70+1
swift-object 1.13.0-1~bpo70+1
swift-plugin-s3 1.7-5~bpo70+1
swift-proxy 1.13.0-1~bpo70+1
sysfsutils 2.1.0+repack-2
sysstat 10.0.5-1
sysv-rc 2.88dsf-41+deb7u2
sysvinit 2.88dsf-41+deb7u2
sysvinit-utils 2.88dsf-41+deb7u2
tar 1.26+dfsg-0.1
tcpdump 4.3.0-1
td-agent 2.1.1-0
telnet 0.17-36
tgt 1:1.0.17-1.1
tmux 1.6-2
traceroute 1:2.0.18-3
trove-api 2014.1-5~bpo70+1
trove-common 2014.1-5~bpo70+1
trove-conductor 2014.1-5~bpo70+1
trove-guestagent 2014.1-5~bpo70+1
trove-taskmanager 2014.1-5~bpo70+1
tsconf 1.0-11
ttf-dejavu-core 2.33-3
tzdata 2014h-0wheezy1
ucf 3.0025+nmu3
udev 175-7.2
unattended-upgrades 0.79.5+wheezy1
unzip 6.0-8
update-inetd 4.43
util-linux 2.20.1-5.3
uuid-runtime 2.20.1-5.3
vim 2:7.3.547-7
vim-common 2:7.3.547-7
vim-runtime 2:7.3.547-7
virt-what 1.12-1
vlan 1.9-3
w3m 0.5.3-8
websockify 0.6.0+dfsg1-1~bpo70+1
wget 1.13.4-3+deb7u2
x11-common 1:7.7+3~deb7u1
xfsprogs 3.1.7+b1
xinetd 1:2.3.14-7.1+deb7u1
xtrabackup 2.2.6-5042-1.wheezy
xz-utils 5.1.1alpha+20120614-2
zlib1g:amd64 1:1.2.7.dfsg-13
zlib1g-dev:amd64 1:1.2.7.dfsg-13
