libsqlite3-0:amd64 3.7.13-1+deb7u1
libss2:amd64 1.42.5-1.1
libssh2-1:amd64 1.4.2-1.1
libssh2-1-dev 1.4.2-1.1
libssl-dev 1.0.1e-2+deb7u13
libssl1.0.0:amd64 1.0.1e-2+deb7u13
libstdc++6:amd64 4.7.2-5
libstdc++6-4.7-dev 4.7.2-5
libsub-name-perl 0.05-1+b2
libsubunit-perl 0.0.18-5~bpo70+1
libswitch-perl 2.16-2
libtasn1-3:amd64 2.13-2+deb7u1
libtasn1-3-dev 2.13-2+deb7u1
libtext-charwidth-perl 0.04-7+b1
libtext-iconv-perl 1.7-5
libtext-wrapi18n-perl 0.06-7
libthai-data 0.1.18-2
libthai0:amd64 0.1.18-2
libtiff4:amd64 3.9.6-11
libtimedate-perl 1.2000-1
libtinfo5:amd64 5.9-10
libtry-tiny-perl 0.11-1
libudev0:amd64 175-7.2
libui-dialog-perl 1.08-1.1
libusb-0.1-4:amd64 2:0.1.12-20+nmu1
libustr-1.0-1:amd64 1.0.4-3
libuuid-perl 0.02-5
libuuid1:amd64 2.20.1-5.3
libvorbis0a:amd64 1.3.2-1.3
libvorbisenc2:amd64 1.3.2-1.3
libwrap0:amd64 7.6.q-24
libx11-6:amd64 2:1.5.0-1+deb7u1
libx11-data 2:1.5.0-1+deb7u1
libx11-xcb1:amd64 2:1.5.0-1+deb7u1
libxau6:amd64 1:1.0.7-1
libxcb-glx0:amd64 1.8.1-2+deb7u1
libxcb-render0:amd64 1.8.1-2+deb7u1
libxcb-shm0:amd64 1.8.1-2+deb7u1
libxcb1:amd64 1.8.1-2+deb7u1
libxcomposite1:amd64 1:0.4.3-2
libxcursor1:amd64 1:1.1.13-1+deb7u1
libxdamage1:amd64 1:1.1.3-2
libxdmcp6:amd64 1:1.1.1-1
libxext6:amd64 2:1.3.1-2+deb7u1
libxfixes3:amd64 1:5.0-4+deb7u1
libxft2:amd64 2.3.1-1
libxi6:amd64 2:1.6.1-1+deb7u1
libxinerama1:amd64 2:1.1.2-1+deb7u1
libxml2:amd64 2.8.0+dfsg1-7+wheezy2
libxml2-dev:amd64 2.8.0+dfsg1-7+wheezy2
libxrandr2:amd64 2:1.3.2-2+deb7u1
libxrender1:amd64 1:0.9.7-1+deb7u1
libxslt1-dev 1.1.26-14.1
libxslt1.1:amd64 1.1.26-14.1
libxtst6:amd64 2:1.2.1-1+deb7u1
libxxf86vm1:amd64 1:1.1.2-1+deb7u1
libyaml-0-2:amd64 0.1.4-2+deb7u5
linux-base 3.5
linux-image-3.2.0-4-amd64 3.2.63-2+deb7u2
linux-image-amd64 3.2+46
linux-libc-dev:amd64 3.2.63-2+deb7u2
lldpad 0.9.44-1
locales 2.13-38+deb7u6
login 1:4.1.5.1-1
logrotate 3.8.1-4
lsb-base 4.1+Debian8+deb7u1
lsb-release 4.1+Debian8+deb7u1
lshw 02.16-1
lvm2 2.02.95-8
make 3.81-8.2
makedumpfile 1.4.3-1
man-db 2.6.2-1
mawk 1.3.3-17
megacli 8.07.14-1
mime-support 3.52-1+deb7u1
module-init-tools 9-3
mount 2.20.1-5.3
multiarch-support 2.13-38+deb7u6
mysql-common 5.5.40-0+wheezy1
nagios-plugin-check-multi 0.26-1
nagios-plugins-basic 1.4.16-1
nagios-plugins-common 1.4.16-1
nagios-plugins-standard 1.4.16-1
ncurses-base 5.9-10
ncurses-bin 5.9-10
net-tools 1.60-24.2
netbase 5.0
netcat-openbsd 1.105-7
nova-common 2014.1.2-7~bpo70+1
ntp 1:4.2.6.p5+dfsg-2+deb7u1
ntpdate 1:4.2.6.p5+dfsg-2+deb7u1
ntpstat 0.0.0.1-1~bpo70+1
openjdk-7-jdk:amd64 7u71-2.5.3-2~deb7u1
openjdk-7-jre:amd64 7u71-2.5.3-2~deb7u1
openjdk-7-jre-headless:amd64 7u71-2.5.3-2~deb7u1
openssh-client 1:6.0p1-4+deb7u2
openssh-server 1:6.0p1-4+deb7u2
openssl 1.0.1e-2+deb7u13
parted 2.3-12
passwd 1:4.1.5.1-1
patch 2.6.1-3
pciutils 1:3.1.9-6
percona-nagios-plugins 1.1.4-1
perl 5.14.2-21+deb7u2
perl-base 5.14.2-21+deb7u2
perl-modules 5.14.2-21+deb7u2
pkg-config 0.26-1
postgresql 9.1+134wheezy4
postgresql-9.1 9.1.14-0+deb7u1
postgresql-client 9.1+134wheezy4
postgresql-client-9.1 9.1.14-0+deb7u1
postgresql-client-common 134wheezy4
postgresql-common 134wheezy4
procps 1:3.3.3-3
psmisc 22.19-1+deb7u1
puppet 3.7.3-1puppetlabs1
puppet-common 3.7.3-1puppetlabs1
puppet-lint 0.1.13-2
puppetdb 2.2.2-1puppetlabs1
puppetdb-terminus 2.2.2-1puppetlabs1
puppetlabs-release 1.0-11
puppetmaster 3.7.3-1puppetlabs1
puppetmaster-common 3.7.3-1puppetlabs1
puppetmaster-passenger 3.7.3-1puppetlabs1
python 2.7.3-4+deb7u1
python-amqp 1.0.13-1~bpo70+1
python-amqplib 1.0.2-1
python-anyjson 0.3.3-1~bpo70+1
python-apt 0.8.8.2
python-apt-common 0.8.8.2
python-babel 1.3+dfsg.1-3~bpo70+1
python-babel-localedata 1.3+dfsg.1-3~bpo70+1
python-boto 2.20.1-2~bpo70+1
python-ceilometerclient 1.0.9-1~bpo70+1
python-chardet 2.0.1-2
python-cheetah 2.4.4-3
python-cinderclient 1:1.0.8-1~bpo70+1
python-cliff 1.4.5-1~bpo70+1
python-cmd2 0.6.7-1.1~bpo70+1
python-configobj 4.7.2+ds-4
python-crypto 2.6.1-2~bpo70+1
python-d2to1 0.2.11-1~bpo70+1
python-daemon 1.5.5-1
python-decorator 3.3.3-1
python-dev 2.7.3-4+deb7u1
python-dns 2.3.6-1+deb7u1
python-eventlet 0.13.0-1~bpo70+1
python-extras 0.0.3-4~bpo70+1
python-feedparser 5.1.2-1
python-fixtures 0.3.14-2~bpo70+1
python-formencode 1.2.4-2
python-glanceclient 1:0.12.0-1~bpo70+1
python-gnupginterface 0.3.2-9.1
python-greenlet 0.4.0-1~bpo70+1
python-heatclient 0.2.9-1~bpo70+1
python-httplib2 0.8-2~bpo70+1
python-ipaddr 2.1.10-1
python-ironicclient 0.1.4-2~bpo70+1
python-iso8601 0.1.10-0.1~bpo70+1
python-jinja2 2.6-1
python-json-patch 1.3-5~bpo70+1
python-json-pointer 1.0-2~bpo70+1
python-jsonpatch 1.3-5~bpo70+1
python-jsonschema 2.3.0-1~bpo70+1
python-junitxml 0.6-1
python-keyring 2.1-1~bpo70+1
python-keystoneclient 1:0.9.0-1~bpo70+1
python-kombu 2.5.15-1~bpo70+1
python-librabbitmq 1.0.1-1~bpo70+1
python-libxml2 2.8.0+dfsg1-7+wheezy2
python-lockfile 1:0.8-2
python-lxml 2.3.2-1+deb7u1
python-m2crypto 0.21.1-2
